epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1336,0.74091,3.94707,0.88589,0.00309,1,0.00842,0.0075,0.4334,3.62842,0.82021,8e-05,8e-05,8e-05
2,80.6044,0.69999,2.9091,0.89988,0.00309,1,0.4082,0.33851,0.54213,3.43283,0.81044,0.000176436,0.000176436,0.000176436
3,116.525,0.6637,1.63037,0.85538,0.00309,1,0.97316,0.71071,0.6723,3.19311,0.80936,0.000268912,0.000268912,0.000268912
4,144.036,0.63646,1.52188,0.92154,0.00309,1,0.8968,0.66202,0.66942,3.30434,0.82221,0.000357428,0.000357428,0.000357428
5,173.272,0.6336,1.40213,0.88887,0.00309,1,0.04773,0.03797,0.59791,3.28681,0.83746,0.000441984,0.000441984,0.000441984
6,213.387,0.64757,1.34143,0.89366,0.00309,1,0.06734,0.0583,0.61676,3.34226,0.83901,0.00052258,0.00052258,0.00052258
7,252.845,0.73085,1.32652,0.89439,0.00309,1,0.06559,0.05117,0.57271,3.37604,0.83399,0.000599216,0.000599216,0.000599216
8,282.47,0.65801,1.19433,0.8714,0.00309,1,0.25931,0.17179,0.57715,3.24239,0.83023,0.000671892,0.000671892,0.000671892
9,309.996,0.62163,1.18728,0.86065,0.00309,1,0.52284,0.36888,0.57587,3.0917,0.8378,0.000740608,0.000740608,0.000740608
10,348.759,0.6543,1.17634,0.87529,0.00309,1,0.67278,0.51923,0.66109,3.10124,0.87707,0.000805364,0.000805364,0.000805364
11,379.572,0.61229,1.15846,0.85748,0.97957,0.76123,0.98432,0.8233,0.61762,2.77264,0.85748,0.00086616,0.00086616,0.00086616
12,408.532,0.70571,1.38732,0.9205,0.96457,0.86443,0.98675,0.83434,0.63081,2.54379,0.86758,0.000922996,0.000922996,0.000922996
13,435.61,0.67069,0.99267,0.89014,1,0.82796,0.99149,0.84561,0.60901,2.29049,0.86908,0.000975872,0.000975872,0.000975872
14,462.726,0.66365,1.00844,0.84747,0.97629,1,0.99063,0.84099,0.59073,2.13752,0.84567,0.00102479,0.00102479,0.00102479
15,493.125,0.68835,0.98313,0.90882,0.98408,1,0.98984,0.85369,0.58158,2.09201,0.84426,0.00106974,0.00106974,0.00106974
16,529.319,0.63142,0.98899,0.90544,0.983,1,0.98672,0.84272,0.5645,1.85056,0.83967,0.00111074,0.00111074,0.00111074
17,563.077,0.66438,0.99112,0.86554,0.98366,0.95534,0.98219,0.84848,0.54397,2.1201,0.83864,0.00114778,0.00114778,0.00114778
18,601.358,0.63999,1.06192,0.89506,0.98424,0.99129,0.98484,0.83915,0.56358,1.95232,0.84224,0.00118085,0.00118085,0.00118085
19,634.996,0.65723,0.91823,0.88494,0.98185,1,0.98547,0.82583,0.61373,1.44621,0.85447,0.00120997,0.00120997,0.00120997
20,662.446,0.62529,0.92016,0.87182,0.9843,0.99546,0.98391,0.83469,0.59849,1.56013,0.84819,0.00123512,0.00123512,0.00123512
21,693.57,0.68531,0.97118,0.89169,0.98424,0.99117,0.98484,0.86902,0.53283,1.85446,0.83929,0.001208,0.001208,0.001208
22,727.912,0.64583,0.95616,0.8824,0.98142,1,0.98813,0.86185,0.563,1.56358,0.83993,0.0011684,0.0011684,0.0011684
